car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Vauxhall-Opel GT 1900 - [1968],88,5100,110,2500,NA,1897,1,115.7,116,186,90.7,1968,1960s,Vauxhall-Opel,0.970231533,113.375
Ferrari 159 S 1.9L V12 - [1947],123,7000,96,5000,NA,1903,1,116.1,124,199,144.7,1947,1940s,Ferrari,0.850034554,112.9365854
Peugeot 405 2.0 Mi 16 - [1988],160,6500,133,5000,NA,1905,1,116.2,134,215,144.1,1988,1980s,Peugeot,1.110340042,119.783125
Peugeot 309 1.9 GTi 16v - [1992],148,6400,122,5000,NA,1905,1,116.2,134,215,151.7,1992,1990s,Peugeot,0.975609756,125.05
Peugeot 205 GTi 1.9 8v - [1986],130,6000,119,4750,NA,1905,1,116.2,123,197,148.5,1986,1980s,Peugeot,0.875420875,135.9346154
Peugeot 309 1.9 GTi 8V - [1986],130,6000,119,4750,NA,1905,1,116.2,124,199,131.9,1986,1980s,Peugeot,0.985595148,120.7392308
Peugeot 205 GTi 1.9 8v - [1992],120,6000,111,3800,NA,1905,1,116.2,126,202,136.3,1992,1990s,Peugeot,0.880410858,126.0775
Fiat Bravo 1.9 Sport Multijet - [2007],167,7000,142,4750,NA,1910,1,116.5,137,220,122.7,2007,2000s,Fiat,1.361043195,104.3317365
Vauxhall-Opel Zafira Tourer CDTi BiTurbo - [2013],192,4000,295,1750,NA,1956,1,119.3,135,217,110.7,2013,2010s,Vauxhall-Opel,1.734417344,170.0859375
Volkswagen(VW) Golf GTD DSG 2.0 Turbo Diesel - [2013],181,3500,280,1750,NA,1968,1,120,142,228,129.7,2013,2010s,Volkswagen(VW),1.395528142,200.640884
Seat Leon SC 2.0 TDI FR - [2013],181,4000,280,1750,NA,1968,1,120,142,228,134,2013,2010s,Seat,1.350746269,207.2928177
Skoda Octavia RS TDI - [2013],181,3500,280,1750,NA,1968,1,120,144,231,123.1,2013,2010s,Skoda,1.47034931,190.4309392
Audi A3 2.0tdi Quattro S-Line - [2008],170,4200,258,2500,NA,1968,1,120,138,222,126.3,2008,2000s,Audi,1.346001584,191.6788235
Seat Leon 2.0 16v TDI FR - [2006],170,4200,258,1800,NA,1968,1,120,133,214,127.7,2006,2000s,Seat,1.331245106,193.8035294
Audi TT 2.0TDI Quattro - [2006],168,4200,258,2500,NA,1968,1,120,140,225,122.6,2006,2000s,Audi,1.370309951,188.2785714
Volkswagen(VW) Golf GT TDi 170 - [2006],168,4200,258,1750,NA,1968,1,120,137,220,129.9,2006,2000s,Volkswagen(VW),1.29330254,199.4892857
Alfa-Romeo 166 2.0 ts - [2000],155,6400,138,2800,NA,1970,1,120.2,NA,NA,98.5,2000,2000s,Alfa-Romeo,1.573604061,87.69677419
Alfa-Romeo 145 Cloverleaf - [1994],150,6200,138,4000,NA,1970,1,120.2,129,207,125,1994,1990s,Alfa-Romeo,1.2,115
Alfa-Romeo 146 ti - [1994],150,6200,138,4000,NA,1970,1,120.2,130,209,122.4,1994,1990s,Alfa-Romeo,1.225490196,112.608
Alfa-Romeo 147 TS Selespeed - [2001],148,6300,133,3800,NA,1970,1,120.2,129,207,118.4,2001,2000s,Alfa-Romeo,1.25,106.4
Aston-Martin Atom 2.0L - [1939],82,5000,85,4500,NA,1970,1,120.2,110,177,67.2,1939,1930s,Aston-Martin,1.220238095,69.65853659
Frazer-Nash Sebring 2.0 Roadster - [1954],140,5750,135,4750,NA,1971,1,120.2,130,209,177.8,1954,1950s,Frazer-Nash,0.787401575,171.45
Frazer-Nash Targa Florio 2.0 Cabriolet - [1952],100,5000,118,3750,NA,1971,1,120.2,114,183,93.7,1952,1950s,Frazer-Nash,1.067235859,110.566
Lotus Esprit 2.0 Turbo GT3 - [1996],240,6250,217,3750,NA,1973,1,120.4,163,262,195.2,1996,1990s,Lotus,1.229508197,176.4933333
